draft_date,actual_upstream,actual_downstream
12/13/2012,709,0
12/14/2012,712,0
12/15/2012,548,0
12/16/2012,341,0
12/17/2012,370,0
12/18/2012,399,0
12/19/2012,407,0
12/20/2012,438,0
12/21/2012,450,0
12/22/2012,351,0
12/23/2012,344,0
12/24/2012,326,0
12/25/2012,353,0
12/26/2012,433,0
12/27/2012,390,0
12/28/2012,355,0
12/29/2012,328,0
12/30/2012,353,0
12/31/2012,383,0
1/1/2013,0,0
1/2/2013,0,0
1/3/2013,0,0
1/4/2013,0,0
1/5/2013,0,0
1/6/2013,0,0
1/7/2013,0,0
1/8/2013,0,0
1/9/2013,0,0
1/10/2013,0,0
1/11/2013,0,0
1/12/2013,0,0
1/13/2013,0,0
1/14/2013,0,0
1/15/2013,0,0
1/16/2013,0,0
1/17/2013,0,0
1/18/2013,0,0
1/19/2013,0,0
1/20/2013,0,0
1/21/2013,0,0
1/22/2013,0,0
1/23/2013,0,0
1/24/2013,0,0
1/25/2013,0,0
1/26/2013,0,0
1/27/2013,0,0
1/28/2013,0,0
1/29/2013,0,0
1/30/2013,0,0
1/31/2013,0,0
2/1/2013,0,0
2/2/2013,0,0
2/3/2013,0,0
2/4/2013,0,0
2/5/2013,0,0
2/6/2013,0,0
2/7/2013,0,0
2/8/2013,0,0
2/9/2013,0,0
2/10/2013,0,0
2/11/2013,0,0
2/12/2013,0,0
2/13/2013,0,0
2/14/2013,0,7
2/15/2013,0,10
2/16/2013,0,9
2/17/2013,0,8
2/18/2013,0,6
2/19/2013,0,1
2/20/2013,0,3
2/21/2013,0,3
2/22/2013,0,7
2/23/2013,0,8
2/24/2013,0,6
2/25/2013,0,8
2/26/2013,0,7
2/27/2013,0,9
2/28/2013,0,33
3/1/2013,0,31
3/2/2013,0,35
3/3/2013,0,41
3/4/2013,163,25
3/5/2013,88,23
3/6/2013,36,22
3/7/2013,59,19
3/8/2013,66,28
3/9/2013,88,31
3/10/2013,79,40
3/11/2013,90,44
3/12/2013,176,53
3/13/2013,87,68
3/14/2013,217,93
3/15/2013,134,103
3/16/2013,120,103
3/17/2013,135,119
3/18/2013,158,123
3/19/2013,214,130
3/20/2013,173,128
3/21/2013,122,93
3/22/2013,146,85
3/23/2013,182,75
3/24/2013,150,49
3/25/2013,110,56
3/26/2013,87,94
3/27/2013,100,118
3/28/2013,110,120
3/29/2013,103,116
3/30/2013,132,103
3/31/2013,87,91
4/1/2013,386,92
4/2/2013,358,97
4/3/2013,341,53
4/4/2013,324,9
4/5/2013,287,0
4/6/2013,339,0
4/7/2013,361,0
4/8/2013,360,9
4/9/2013,327,23
4/10/2013,533,43
4/11/2013,599,75
4/12/2013,698,49
4/13/2013,945,41
4/14/2013,1070,54
4/15/2013,1450,58
4/16/2013,1679,69
4/17/2013,1942,284
4/18/2013,2261,198
4/19/2013,2722,129
4/20/2013,3118,125
4/21/2013,3257,156
4/22/2013,3611,150
4/23/2013,3863,156
4/24/2013,3953,102
